open,low,high,close,change,percent,date1,date2
"663,928","663,928","663,928","663,928",1404,0.21%,2025/01/18,1403/10/29
"665,332","665,332","665,332","665,332",1529,0.23%,2025/01/16,1403/10/27
"666,861","666,861","666,861","666,861",378,0.06%,2025/01/15,1403/10/26
"667,239","667,239","667,239","667,239",818,0.12%,2025/01/13,1403/10/24
"666,421","666,421","666,421","666,421",889,0.13%,2025/01/12,1403/10/23
"665,532","665,532","665,532","665,532",3145,0.47%,2025/01/11,1403/10/22
"668,677","668,677","668,677","668,677",3432,0.52%,2025/01/09,1403/10/20
"665,245","665,245","665,245","665,245",3861,0.58%,2025/01/08,1403/10/19
"661,384","661,384","661,384","661,384",344,0.05%,2025/01/07,1403/10/18
"661,728","661,728","661,728","661,728",474,0.07%,2025/01/06,1403/10/17
"662,202","662,202","662,202","662,202",299,0.05%,2025/01/05,1403/10/16
"662,501","662,501","662,501","662,501",3353,0.51%,2025/01/04,1403/10/15
"659,148","659,148","659,148","659,148",3195,0.49%,2025/01/02,1403/10/13
"655,953","655,953","655,953","655,953",4579,0.7%,2025/01/01,1403/10/12
"651,374","651,374","651,374","651,374",2610,0.4%,2024/12/31,1403/10/11
"648,764","648,764","648,764","648,764",3474,0.54%,2024/12/30,1403/10/10
"645,290","645,290","645,290","645,290",665,0.1%,2024/12/29,1403/10/09
"645,955","645,955","645,955","645,955",959,0.15%,2024/12/28,1403/10/08
"644,996","644,996","644,996","644,996",1593,0.25%,2024/12/26,1403/10/06
"643,403","643,403","643,403","643,403",2196,0.34%,2024/12/25,1403/10/05
"641,207","641,207","641,207","641,207",2781,0.44%,2024/12/24,1403/10/04
"638,426","638,426","638,426","638,426",4877,0.77%,2024/12/23,1403/10/03
"633,549","633,549","633,549","633,549",4655,0.74%,2024/12/22,1403/10/02
"628,894","628,894","628,894","628,894",1573,0.25%,2024/12/21,1403/10/01
"627,321","627,321","627,321","627,321",6864,1.11%,2024/12/19,1403/09/29
"620,457","620,457","620,457","620,457",2933,0.47%,2024/12/18,1403/09/28
"617,524","617,524","617,524","617,524",4629,0.76%,2024/12/17,1403/09/27
"612,895","612,895","612,895","612,895",16417,2.75%,2024/12/16,1403/09/26
"596,478","596,478","596,478","596,478",52074,9.57%,2024/12/15,1403/09/25
"544,404","544,404","544,404","544,404",32,0.01%,2024/12/12,1403/09/22
"544,436","544,436","544,436","544,436",2681,0.49%,2024/12/11,1403/09/21
"541,755","541,755","541,755","541,755",2501,0.46%,2024/12/10,1403/09/20
"539,254","539,254","539,254","539,254",3851,0.72%,2024/12/09,1403/09/19
"535,403","535,403","535,403","535,403",4010,0.75%,2024/12/08,1403/09/18
"531,393","531,393","531,393","531,393",2901,0.55%,2024/12/07,1403/09/17
"528,492","528,492","528,492","528,492",3130,0.6%,2024/12/04,1403/09/14
"525,362","525,362","525,362","525,362",2081,0.4%,2024/12/03,1403/09/13
"523,281","523,281","523,281","523,281",2981,0.57%,2024/12/02,1403/09/12
"520,300","520,300","520,300","520,300",2745,0.53%,2024/12/01,1403/09/11
"517,555","517,555","517,555","517,555",591,0.11%,2024/11/27,1403/09/07
"516,964","516,964","516,964","516,964",553,0.11%,2024/11/26,1403/09/06
"516,411","516,411","516,411","516,411",1581,0.31%,2024/11/25,1403/09/05
"514,830","514,830","514,830","514,830",1839,0.36%,2024/11/24,1403/09/04
"512,991","512,991","512,991","512,991",1801,0.35%,2024/11/23,1403/09/03
"511,190","511,190","511,190","511,190",931,0.18%,2024/11/21,1403/09/01
"510,259","510,259","510,259","510,259",1982,0.39%,2024/11/20,1403/08/30
"508,277","508,277","508,277","508,277",1991,0.39%,2024/11/19,1403/08/29
"506,286","506,286","506,286","506,286",1301,0.26%,2024/11/18,1403/08/28
"504,985","504,985","504,985","504,985",941,0.19%,2024/11/17,1403/08/27
"504,044","504,044","504,044","504,044",1211,0.24%,2024/11/16,1403/08/26
"502,833","502,833","502,833","502,833",931,0.19%,2024/11/14,1403/08/24
"501,902","501,902","501,902","501,902",1401,0.28%,2024/11/13,1403/08/23
"500,501","500,501","500,501","500,501",1387,0.28%,2024/11/12,1403/08/22
"499,114","499,114","499,114","499,114",1521,0.31%,2024/11/11,1403/08/21
"497,593","497,593","497,593","497,593",2901,0.59%,2024/11/10,1403/08/20
"494,692","494,692","494,692","494,692",1130,0.23%,2024/11/09,1403/08/19
"493,562","493,562","493,562","493,562",3,-,2024/11/05,1403/08/15
"493,559","493,559","493,559","493,559",6,-,2024/11/04,1403/08/14
"493,553","493,553","493,553","493,553",5,-,2024/11/03,1403/08/13
"493,548","493,548","493,548","493,548",45,0.01%,2024/11/02,1403/08/12
"493,503","493,503","493,503","493,503",980,0.2%,2024/10/31,1403/08/10
"492,523","492,523","492,523","492,523",1031,0.21%,2024/10/30,1403/08/09
"491,492","491,492","491,492","491,492",782,0.16%,2024/10/29,1403/08/08
"490,710","490,710","490,710","490,710",251,0.05%,2024/10/28,1403/08/07
"490,459","490,459","490,459","490,459",301,0.06%,2024/10/27,1403/08/06
"490,158","490,158","490,158","490,158",430,0.09%,2024/10/24,1403/08/03
"489,728","489,728","489,728","489,728",1411,0.29%,2024/10/23,1403/08/02
"488,317","488,317","488,317","488,317",1420,0.29%,2024/10/22,1403/08/01
"486,897","486,897","486,897","486,897",398,0.08%,2024/10/21,1403/07/30
"486,499","486,499","486,499","486,499",1061,0.22%,2024/10/20,1403/07/29
"485,438","485,438","485,438","485,438",1381,0.29%,2024/10/19,1403/07/28
"484,057","484,057","484,057","484,057",1031,0.21%,2024/10/17,1403/07/26
"483,026","483,026","483,026","483,026",1180,0.24%,2024/10/16,1403/07/25
"481,846","481,846","481,846","481,846",1371,0.29%,2024/10/15,1403/07/24
"480,475","480,475","480,475","480,475",1420,0.3%,2024/10/14,1403/07/23
"479,055","479,055","479,055","479,055",1554,0.33%,2024/10/13,1403/07/22
"477,501","477,501","477,501","477,501",1461,0.31%,2024/10/12,1403/07/21
"476,040","476,040","476,040","476,040",1280,0.27%,2024/10/10,1403/07/19
"474,760","474,760","474,760","474,760",1101,0.23%,2024/10/09,1403/07/18
"473,659","473,659","473,659","473,659",1021,0.22%,2024/10/08,1403/07/17
"472,638","472,638","472,638","472,638",751,0.16%,2024/10/07,1403/07/16
"471,887","471,887","471,887","471,887",423,0.09%,2024/10/06,1403/07/15
"471,464","471,464","471,464","471,464",1433,0.3%,2024/10/05,1403/07/14
"470,031","470,031","470,031","470,031",1351,0.29%,2024/10/03,1403/07/12
"468,680","468,680","468,680","468,680",351,0.07%,2024/10/02,1403/07/11
"468,329","468,329","468,329","468,329",855,0.18%,2024/10/01,1403/07/10
"467,474","467,474","467,474","467,474",1070,0.23%,2024/09/30,1403/07/09
"466,404","466,404","466,404","466,404",249,0.05%,2024/09/29,1403/07/08
"466,155","466,155","466,155","466,155",190,0.04%,2024/09/28,1403/07/07
"465,965","465,965","465,965","465,965",851,0.18%,2024/09/26,1403/07/05
"465,114","465,114","465,114","465,114",901,0.19%,2024/09/25,1403/07/04
"464,213","464,213","464,213","464,213",356,0.08%,2024/09/24,1403/07/03
"464,569","464,569","464,569","464,569",1921,0.42%,2024/09/23,1403/07/02
"462,648","462,648","462,648","462,648",1120,0.24%,2024/09/22,1403/07/01
"461,528","461,528","461,528","461,528",801,0.17%,2024/09/17,1403/06/27
"460,727","460,727","460,727","460,727",1101,0.24%,2024/09/16,1403/06/26
"459,626","459,626","459,626","459,626",1090,0.24%,2024/09/15,1403/06/25
"458,536","458,536","458,536","458,536",698,0.15%,2024/09/11,1403/06/21
"457,838","457,838","457,838","457,838",701,0.15%,2024/09/10,1403/06/20
"457,137","457,137","457,137","457,137",292,0.06%,2024/09/09,1403/06/19
"457,429","457,429","457,429","457,429",501,0.11%,2024/09/08,1403/06/18
"456,928","456,928","456,928","456,928",498,0.11%,2024/09/07,1403/06/17
"456,430","456,430","456,430","456,430",504,0.11%,2024/09/05,1403/06/15
"455,926","455,926","455,926","455,926",798,0.18%,2024/09/03,1403/06/13
"455,128","455,128","455,128","455,128",511,0.11%,2024/09/01,1403/06/11
"454,617","454,617","454,617","454,617",651,0.14%,2024/08/31,1403/06/10
"453,966","453,966","453,966","453,966",510,0.11%,2024/08/29,1403/06/08
"453,456","453,456","453,456","453,456",498,0.11%,2024/08/28,1403/06/07
"452,958","452,958","452,958","452,958",450,0.1%,2024/08/27,1403/06/06
"452,508","452,508","452,508","452,508",359,0.08%,2024/08/24,1403/06/03
"452,149","452,149","452,149","452,149",400,0.09%,2024/08/21,1403/05/31
"452,549","452,549","452,549","452,549",887,0.2%,2024/08/20,1403/05/30
"451,662","451,662","451,662","451,662",725,0.16%,2024/08/18,1403/05/28
"450,937","450,937","450,937","450,937",901,0.2%,2024/08/17,1403/05/27
"450,036","450,036","450,036","450,036",1810,0.4%,2024/08/14,1403/05/24
"448,226","448,226","448,226","448,226",1133,0.25%,2024/08/13,1403/05/23
"447,093","447,093","447,093","447,093",1150,0.26%,2024/08/11,1403/05/21
"445,943","445,943","445,943","445,943",1020,0.23%,2024/08/10,1403/05/20
"444,923","444,923","444,923","444,923",550,0.12%,2024/08/06,1403/05/16
"444,373","444,373","444,373","444,373",838,0.19%,2024/08/04,1403/05/14
"443,535","443,535","443,535","443,535",991,0.22%,2024/08/03,1403/05/13
"442,544","442,544","442,544","442,544",710,0.16%,2024/07/30,1403/05/09
"441,834","441,834","441,834","441,834",861,0.2%,2024/07/29,1403/05/08
"440,973","440,973","440,973","440,973",813,0.18%,2024/07/27,1403/05/06
"440,160","440,160","440,160","440,160",300,0.07%,2024/07/25,1403/05/04
"439,860","439,860","439,860","439,860",1170,0.27%,2024/07/23,1403/05/02
"438,690","438,690","438,690","438,690",680,0.16%,2024/07/22,1403/05/01
"438,010","438,010","438,010","438,010",878,0.2%,2024/07/20,1403/04/30
"437,132","437,132","437,132","437,132",1120,0.26%,2024/07/18,1403/04/28
"436,012","436,012","436,012","436,012",952,0.22%,2024/07/14,1403/04/24
"435,060","435,060","435,060","435,060",951,0.22%,2024/07/13,1403/04/23
"434,109","434,109","434,109","434,109",310,0.07%,2024/07/11,1403/04/21
"433,799","433,799","433,799","433,799",912,0.21%,2024/07/09,1403/04/19
"432,887","432,887","432,887","432,887",385,0.09%,2024/07/08,1403/04/18
"433,272","433,272","433,272","433,272",1210,0.28%,2024/07/07,1403/04/17
"432,062","432,062","432,062","432,062",998,0.23%,2024/07/06,1403/04/16
"431,064","431,064","431,064","431,064",890,0.21%,2024/06/30,1403/04/10
"430,174","430,174","430,174","430,174",651,0.15%,2024/06/29,1403/04/09
"429,523","429,523","429,523","429,523",525,0.12%,2024/06/22,1403/04/02
"428,998","428,998","428,998","428,998",900,0.21%,2024/06/20,1403/03/31
"428,098","428,098","428,098","428,098",939,0.22%,2024/06/18,1403/03/29
"427,159","427,159","427,159","427,159",651,0.15%,2024/06/16,1403/03/27
"426,508","426,508","426,508","426,508",510,0.12%,2024/06/15,1403/03/26
"425,998","425,998","425,998","425,998",831,0.2%,2024/06/12,1403/03/23
"425,167","425,167","425,167","425,167",250,0.06%,2024/06/11,1403/03/22
"424,917","424,917","424,917","424,917",1663,0.39%,2024/06/09,1403/03/20
"423,254","423,254","423,254","423,254",470,0.11%,2024/06/08,1403/03/19
"422,784","422,784","422,784","422,784",910,0.22%,2024/06/06,1403/03/17
"421,874","421,874","421,874","421,874",1,-,2024/06/02,1403/03/13
"421,875","421,875","421,875","421,875",918,0.22%,2024/06/01,1403/03/12
"420,957","420,957","420,957","420,957",525,0.12%,2024/05/29,1403/03/09
"420,432","420,432","420,432","420,432",1289,0.31%,2024/05/28,1403/03/08
"419,143","419,143","419,143","419,143",246,0.06%,2024/05/27,1403/03/07
"419,389","419,389","419,389","419,389",985,0.24%,2024/05/26,1403/03/06
"418,404","418,404","418,404","418,404",540,0.13%,2024/05/20,1403/02/31
"418,944","418,944","418,944","418,944",98,0.02%,2024/05/14,1403/02/25
"419,042","419,042","419,042","419,042",893,0.21%,2024/05/11,1403/02/22
"418,149","418,149","418,149","418,149",1821,0.44%,2024/05/07,1403/02/18
"416,328","416,328","416,328","416,328",1413,0.34%,2024/05/06,1403/02/17
"414,915","414,915","414,915","414,915",1149,0.28%,2024/05/05,1403/02/16
"413,766","413,766","413,766","413,766",1,-,2024/04/30,1403/02/11
"413,767","413,767","413,767","413,767",421,0.1%,2024/04/29,1403/02/10
"414,188","414,188","414,188","414,188",1508,0.37%,2024/04/28,1403/02/09
"412,680","412,680","412,680","412,680",1491,0.36%,2024/04/27,1403/02/08
"411,189","411,189","411,189","411,189",1420,0.35%,2024/04/24,1403/02/05
"409,769","409,769","409,769","409,769",1712,0.42%,2024/04/23,1403/02/04
"408,057","408,057","408,057","408,057",98,0.02%,2024/04/22,1403/02/03
"407,959","407,959","407,959","407,959",1500,0.37%,2024/04/21,1403/02/02
"406,459","406,459","406,459","406,459",23,0.01%,2024/04/20,1403/02/01
"406,482","406,482","406,482","406,482",-,-,2024/04/17,1403/01/29
"406,483","406,483","406,483","406,483",1,-,2024/04/09,1403/01/21
"406,484","406,484","406,484","406,484",5,-,2024/04/07,1403/01/19
"406,489","406,489","406,489","406,489",1060,0.26%,2024/04/06,1403/01/18
"405,429","405,429","405,429","405,429",98,0.02%,2024/04/02,1403/01/14
"405,527","405,527","405,527","405,527",960,0.24%,2024/03/18,1402/12/28
"404,567","404,567","404,567","404,567",2,-,2024/03/17,1402/12/27
"404,569","404,569","404,569","404,569",1075,0.27%,2024/03/16,1402/12/26
"403,494","403,494","403,494","403,494",-,-,2024/03/14,1402/12/24
"402,425","402,425","402,425","402,425",614,0.15%,2024/03/12,1402/12/22
"401,811","401,811","401,811","401,811",213,0.05%,2024/03/11,1402/12/21
"401,598","401,598","401,598","401,598",339,0.08%,2024/03/10,1402/12/20
"400,055","400,055","401,259","401,259",2616,0.66%,2024/03/06,1402/12/16
"398,643","398,643","398,643","398,643",-,-,2024/03/04,1402/12/14
"398,644","398,644","398,644","398,644",1,-,2024/03/03,1402/12/13
"398,645","398,645","398,645","398,645",1,-,2024/03/02,1402/12/12
"398,646","398,646","398,646","398,646",5,-,2024/02/28,1402/12/09
"398,641","398,641","398,641","398,641",2,-,2024/02/27,1402/12/08
"398,643","398,643","398,643","398,643",1550,0.39%,2024/02/21,1402/12/02
"397,093","397,093","397,093","397,093",1,-,2024/02/19,1402/11/30
"397,092","397,092","397,092","397,092",1,-,2024/02/14,1402/11/25
"397,093","397,093","397,093","397,093",1875,0.47%,2024/02/13,1402/11/24
"395,218","395,218","395,218","395,218",9,-,2024/02/07,1402/11/18
"395,209","395,209","395,209","395,209",8,-,2024/02/06,1402/11/17
"395,217","395,217","395,217","395,217",1,-,2024/02/04,1402/11/15
"395,218","395,218","395,218","395,218",-,-,2024/01/31,1402/11/11
"395,227","395,227","395,227","395,227",9,-,2024/01/27,1402/11/07
"395,236","395,236","395,236","395,236",1,-,2024/01/22,1402/11/02
"395,237","395,237","395,237","395,237",11,-,2024/01/20,1402/10/30
"395,248","395,248","395,248","395,248",21,0.01%,2024/01/17,1402/10/27
"395,269","395,269","395,269","395,269",21,0.01%,2024/01/16,1402/10/26
"395,272","395,272","395,272","395,272",1,-,2024/01/13,1402/10/23
"395,273","395,273","395,273","395,273",8,-,2024/01/10,1402/10/20
"395,281","395,281","395,281","395,281",51,0.01%,2024/01/09,1402/10/19
"395,332","395,332","395,332","395,332",930,0.24%,2024/01/08,1402/10/18
"394,402","394,402","394,402","394,402",813,0.21%,2024/01/07,1402/10/17
"393,589","393,589","393,589","393,589",890,0.23%,2024/01/06,1402/10/16
"392,699","392,699","392,699","392,699",1017,0.26%,2024/01/03,1402/10/13
"391,682","391,682","391,682","391,682",925,0.24%,2024/01/02,1402/10/12
"390,757","390,757","390,757","390,757",470,0.12%,2024/01/01,1402/10/11
